Player,PPG,APG,RPG,SPG,BPG,G
Joel Embiid 19 20,23,3,11.6,0.9,1.3,51
James Ennis 19 20,6.6,0.9,3.6,0.5,0.3,69
James Ennis 19 20,5.8,0.8,3.1,0.5,0.3,49
James Ennis 19 20,8.5,1.1,4.8,0.6,0.4,20
Drew Eubanks 19 20,4.9,0.7,3.9,0.2,0.8,22
Jacob Evans 19 20,4.4,1.1,1.4,0.4,0.4,29
Jacob Evans 19 20,4.7,1.1,1.5,0.4,0.4,27
Jacob Evans 19 20,0,0,0,0,0,2
Dante Exum 19 20,4.5,1.1,1.9,0.4,0.2,35
Dante Exum 19 20,2.2,0.6,1.1,0.1,0.2,11
Dante Exum 19 20,5.6,1.4,2.3,0.5,0.3,24
Tacko Fall 19 20,3.3,0.1,2.1,0.1,0.6,7
Derrick Favors 19 20,9,1.6,9.8,0.6,0.9,51
Cristiano Felício 19 20,3.9,0.7,4.6,0.5,0.1,22
Terrance Ferguson 19 20,3.9,0.9,1.3,0.5,0.3,56
Bruno Fernando 19 20,4.3,0.9,3.5,0.3,0.3,56
Yogi Ferrell 19 20,4.4,1.4,1,0.4,0.1,50
Dorian Finney-Smith 19 20,9.5,1.6,5.7,0.6,0.5,71
Bryn Forbes 19 20,11.2,1.7,2,0.5,0,63
Evan Fournier 19 20,18.5,3.2,2.6,1.1,0.2,66
De'Aaron Fox 19 20,21.1,6.8,3.8,1.5,0.5,51
Melvin Frazier 19 20,2.1,0.2,0.5,0.5,0.1,19
Michael Frazier 19 20,2.1,0.2,0.8,0.2,0,13
Tim Frazier 19 20,3.6,3.4,1.2,0.5,0.1,27
Markelle Fultz 19 20,12.1,5.1,3.3,1.3,0.2,72
Wenyen Gabriel 19 20,2.1,0.3,1.7,0.4,0.2,30
Wenyen Gabriel 19 20,1.7,0.3,0.9,0.3,0.2,11
Wenyen Gabriel 19 20,2.3,0.3,2.2,0.4,0.3,19
Daniel Gafford 19 20,5.1,0.5,2.5,0.3,1.3,43
Danilo Gallinari 19 20,18.7,1.9,5.2,0.7,0.1,62
Langston Galloway 19 20,10.3,1.5,2.3,0.7,0.2,66
Darius Garland 19 20,12.3,3.9,1.9,0.7,0.1,59
Marc Gasol 19 20,7.5,3.3,6.3,0.8,0.9,44
Rudy Gay 19 20,10.8,1.7,5.4,0.5,0.5,67
Paul George 19 20,21.5,3.9,5.7,1.4,0.4,48
Taj Gibson 19 20,6.1,0.8,4.3,0.4,0.5,62
Harry Giles 19 20,6.9,1.3,4.1,0.5,0.4,46
Shai Gilgeous-Alexander 19 20,19,3.3,5.9,1.1,0.7,70
Rudy Gobert 19 20,15.1,1.5,13.5,0.8,2,68
Brandon Goodwin 19 20,6.1,1.5,2.1,0.4,0.1,34
Aaron Gordon 19 20,14.4,3.7,7.7,0.8,0.6,62
Eric Gordon 19 20,14.4,1.5,2,0.6,0.4,36
Devonte' Graham 19 20,18.2,7.5,3.4,1,0.2,63
Treveon Graham 19 20,4.4,0.8,2.7,0.4,0.1,55
Treveon Graham 19 20,5.2,0.9,3,0.5,0.1,33
Treveon Graham 19 20,3.3,0.7,2.3,0.3,0.2,22
Jerami Grant 19 20,12,1.2,3.5,0.7,0.8,71
Jerian Grant 19 20,4.5,1.5,1,0.2,0.2,6
Josh Gray 19 20,1,1,1,0,0,2
Danny Green 19 20,8,1.3,3.3,1.3,0.5,68
Draymond Green 19 20,8,6.2,6.2,1.4,0.8,43
JaMychal Green 19 20,6.8,0.8,6.2,0.5,0.4,63
Javonte Green 19 20,3.4,0.5,1.9,0.5,0.2,48
Jeff Green 19 20,9.4,1,2.8,0.5,0.4,48
Jeff Green 19 20,7.8,0.7,2.7,0.4,0.3,30
Jeff Green 19 20,12.2,1.7,2.9,0.8,0.5,18
Blake Griffin 19 20,15.5,3.3,4.7,0.4,0.4,18
Marko Guduric 19 20,3.9,1,1.7,0.3,0.2,44
Kyle Guy 19 20,1.3,0.3,0.3,0,0,3
Rui Hachimura 19 20,13.5,1.8,6.1,0.8,0.2,48
Devon Hall 19 20,1.8,1.2,0.6,0.4,0.1,11
Donta Hall 19 20,4.3,0.4,4.2,0.3,0.7,9
Donta Hall 19 20,1.5,0.5,3.8,0.3,0.3,4
Donta Hall 19 20,6.6,0.4,4.6,0.4,1,5
Dusty Hannahs 19 20,6,0,0.5,0,0,2
Tim Hardaway Jr. 19 20,15.8,1.9,3.3,0.6,0.1,71
James Harden 19 20,34.3,7.5,6.6,1.8,0.9,68
Maurice Harkless 19 20,5.8,1.1,3.9,0.9,0.5,62
Maurice Harkless 19 20,5.5,1,4,1,0.6,50
Maurice Harkless 19 20,6.8,1.7,3.3,0.8,0.3,12
Jared Harper 19 20,0.7,0,0,0,0,3
Montrezl Harrell 19 20,18.6,1.7,7.1,0.6,1.1,63
Gary Harris 19 20,10.4,2.1,2.9,1.4,0.3,56
Joe Harris 19 20,14.5,2.1,4.3,0.6,0.2,69
Tobias Harris 19 20,19.6,3.2,6.9,0.7,0.6,72
Shaquille Harrison 19 20,4.9,1.1,2,0.8,0.4,43
Josh Hart 19 20,10.1,1.7,6.5,1,0.4,65
Isaiah Hartenstein 19 20,4.7,0.8,3.9,0.4,0.5,23
Udonis Haslem 19 20,3,0.3,4,0,0,4
Jaxson Hayes 19 20,7.4,0.9,4,0.4,0.9,64
Gordon Hayward 19 20,17.5,4.1,6.7,0.7,0.4,52
John Henson 19 20,5.5,1.4,4.1,0.6,1.1,40
John Henson 19 20,5,1.5,3.9,0.6,1.1,29
John Henson 19 20,6.9,1,4.4,0.7,0.9,11
Dewan Hernandez 19 20,2.3,0.5,2.3,0.2,0,6
Juan Hernangómez 19 20,6,0.8,4.1,0.4,0.2,48
Juan Hernangómez 19 20,3.1,0.6,2.8,0.1,0.1,34
Juan Hernangómez 19 20,12.9,1.3,7.3,1,0.3,14
Willy Hernangómez 19 20,6.1,0.9,4.3,0.3,0.2,31
Tyler Herro 19 20,13.5,2.2,4.1,0.6,0.2,55
Kevin Hervey 19 20,1.7,0.5,1.2,0.1,0.1,10
Mario Hezonja 19 20,4.8,0.9,3.5,0.7,0.2,53
Buddy Hield 19 20,19.2,3,4.6,0.9,0.2,72
George Hill 19 20,9.4,3.1,3,0.8,0.1,59
Solomon Hill 19 20,5.5,1.8,2.8,0.7,0.2,59
Solomon Hill 19 20,5.7,2,3,0.6,0.1,48
Solomon Hill 19 20,4.5,0.9,1.9,1.1,0.5,11
Jaylen Hoard 19 20,2.9,0.3,2.5,0.4,0,13
Aaron Holiday 19 20,9.5,3.4,2.4,0.8,0.2,66
Jrue Holiday 19 20,19.1,6.7,4.8,1.6,0.8,61
Justin Holiday 19 20,8.3,1.3,3.3,1.2,0.6,73
Rondae Hollis-Jefferson 19 20,7,1.8,4.7,0.8,0.4,60
Richaun Holmes 19 20,12.3,1,8.1,0.9,1.3,44
Rodney Hood 19 20,11,1.5,3.4,0.8,0.2,21
Al Horford 19 20,11.9,4,6.8,0.8,0.9,67
Talen Horton-Tucker 19 20,5.7,1,1.2,1.3,0.2,6
Danuel House 19 20,10.5,1.3,4.2,1.1,0.5,63
Dwight Howard 19 20,7.5,0.7,7.3,0.4,1.1,69
William Howard 19 20,0,0.5,1,0,0,2
Kevin Huerter 19 20,12.2,3.8,4.1,0.9,0.5,56
De'Andre Hunter 19 20,12.3,1.8,4.5,0.7,0.3,63
Chandler Hutchison 19 20,7.8,0.9,3.9,1,0.3,28
Serge Ibaka 19 20,15.4,1.4,8.2,0.5,0.8,55
Andre Iguodala 19 20,4.6,2.4,3.7,0.7,1,21
Ersan İlyasova 19 20,6.6,0.8,4.8,0.4,0.3,63
Joe Ingles 19 20,9.8,5.2,3.9,0.9,0.2,72
Brandon Ingram 19 20,23.8,4.2,6.1,1,0.6,62
Kyrie Irving 19 20,27.4,6.4,5.2,1.4,0.5,20
Jonathan Isaac 19 20,11.9,1.4,6.8,1.6,2.3,34
Wesley Iwundu 19 20,5.8,1.2,2.5,0.5,0.3,52
Frank Jackson 19 20,6.3,1,1.4,0.3,0.1,59
Jaren Jackson Jr. 19 20,17.4,1.4,4.6,0.7,1.6,57
Josh Jackson 19 20,9,1.6,3,0.8,0.4,22
Justin Jackson 19 20,5.5,0.8,2.4,0.2,0.2,65
Reggie Jackson 19 20,11.9,4.1,3,0.4,0.2,31
Reggie Jackson 19 20,14.9,5.1,2.9,0.6,0.1,14
Reggie Jackson 19 20,9.5,3.2,3,0.3,0.2,17
Justin James 19 20,2.5,0.5,0.9,0.2,0.3,36
LeBron James 19 20,25.3,10.2,7.8,1.2,0.5,67
Amile Jefferson 19 20,0.8,0.2,1.3,0.1,0.2,18
DaQuan Jeffries 19 20,3.8,0.5,1.4,0.3,0.1,13
Ty Jerome 19 20,3.3,1.4,1.5,0.5,0.1,31
Alize Johnson 19 20,2,0.4,2.8,0.2,0.1,17
B.J. Johnson 19 20,3,0.3,1.5,0.3,0,10
Cameron Johnson 19 20,8.8,1.2,3.3,0.6,0.4,57
James Johnson 19 20,8.4,2.3,3.7,0.8,1,32
James Johnson 19 20,5.7,1.2,2.9,0.3,0.7,18
James Johnson 19 20,12,3.8,4.7,1.4,1.4,14
Keldon Johnson 19 20,9.1,0.9,3.4,0.8,0.1,17
Stanley Johnson 19 20,2.4,0.8,1.5,0.2,0.2,25
Tyler Johnson 19 20,7,1.9,1.9,0.4,0.2,39
