Player,PPG,APG,RPG,SPG,BPG,G
Tyrese Haliburton 20 21,12.4,5.2,3.6,1.2,0.6,25
Josh Hall 20 21,1.7,1,1.3,0,0,7
R.J. Hampton 20 21,2.2,0.5,1.9,0.2,0.1,21
Tim Hardaway Jr. 20 21,16.7,1.6,3.2,0.7,0.1,27
James Harden 20 21,24.5,11.3,7.3,1,0.8,24
James Harden 20 21,24.8,10.4,5.1,0.9,0.8,8
James Harden 20 21,24.3,11.8,8.4,1.1,0.8,16
Maurice Harkless 20 21,1.2,0.7,0.9,0.2,0.3,10
Jared Harper 20 21,1,0,0,0,0,2
Montrezl Harrell 20 21,13.3,1.1,6.3,0.7,0.7,29
Gary Harris 20 21,9.7,1.7,2.5,0.9,0.2,19
Jalen Harris 20 21,0,0,0.5,0,0,2
Joe Harris 20 21,14.9,1.9,3.5,0.5,0.2,30
Tobias Harris 20 21,20.8,3.1,7.7,0.8,0.8,26
Shaquille Harrison 20 21,1.1,0.5,0.6,0.1,0,16
Josh Hart 20 21,8.9,2.1,7.5,0.8,0.2,28
Isaiah Hartenstein 20 21,4.2,0.6,2.8,0.4,0.7,18
Jaxson Hayes 20 21,4.2,0.4,3.6,0.3,0.3,21
Killian Hayes 20 21,4.6,3.6,1.1,0.3,0,7
Gordon Hayward 20 21,22.3,3.8,5.5,1.1,0.4,26
Juan Hernangómez 20 21,6.4,0.5,5,0.4,0.2,13
Willy Hernangómez 20 21,6.8,1.2,6.5,0.5,0.4,13
Tyler Herro 20 21,17,3.9,6.3,0.5,0.5,20
Buddy Hield 20 21,16.1,3,4.8,0.9,0.3,27
George Hill 20 21,11.8,3.1,2.1,0.9,0.1,14
Solomon Hill 20 21,4.4,0.9,2.3,0.6,0.2,28
Nate Hinton 20 21,1.3,0,0,0.2,0.2,6
Aaron Holiday 20 21,7.4,1.8,1.3,0.5,0.1,29
Jrue Holiday 20 21,16.4,5.4,4.8,1.9,0.6,23
Justin Holiday 20 21,11.5,1.7,4.2,1.2,0.3,29
Richaun Holmes 20 21,12.8,1.8,7.7,0.7,1.6,25
Rodney Hood 20 21,5,1.2,1.7,0.7,0.1,23
Al Horford 20 21,14.7,3.6,6.9,0.9,0.8,19
Talen Horton-Tucker 20 21,6.8,1.8,2.4,0.8,0.5,25
Danuel House 20 21,8.9,2.1,3.6,0.8,0.5,17
Dwight Howard 20 21,5.9,0.7,7.7,0.4,0.9,29
Markus Howard 20 21,1.1,0.4,0.4,0.1,0,14
Kevin Huerter 20 21,12,3.8,3.6,1.2,0.2,28
Elijah Hughes 20 21,2.7,0.5,0.7,0.2,0.2,6
De'Andre Hunter 20 21,17.2,2.2,5.4,0.9,0.5,18
Chandler Hutchison 20 21,1.9,0.6,2.9,0.1,0,7
Serge Ibaka 20 21,11.8,1.7,6.7,0.2,1.2,29
Andre Iguodala 20 21,4.4,2.3,3.6,1,0.5,26
Joe Ingles 20 21,11.8,4.7,3.5,0.4,0.2,25
Brandon Ingram 20 21,23.6,4.8,5.4,0.6,0.9,28
Kyrie Irving 20 21,28.3,5.7,4.6,1.1,0.8,20
Wesley Iwundu 20 21,2.2,0.5,1.9,0.4,0.1,17
Frank Jackson 20 21,1.6,1.1,0.7,0.1,0,7
Josh Jackson 20 21,12.8,1.9,4,1,0.9,26
Justin Jackson 20 21,7.8,1.8,2.4,0.4,0.1,18
Reggie Jackson 20 21,8.6,3.3,2.7,0.7,0.1,27
Justin James 20 21,1.6,0.4,0.9,0.1,0.1,8
LeBron James 20 21,25.7,7.9,8.2,1,0.5,29
DaQuan Jeffries 20 21,2,0.7,2,1,0.7,3
Isaiah Joe 20 21,5,0.9,1.2,0.4,0.3,16
Cameron Johnson 20 21,10.7,1.5,3.6,0.6,0.3,27
James Johnson 20 21,6.4,1.6,3.1,0.9,0.8,23
Keldon Johnson 20 21,14.5,2.3,7,0.8,0.5,27
Stanley Johnson 20 21,3,1.4,2.5,0.8,0.3,25
Tyler Johnson 20 21,4.5,0.8,1.2,0.3,0,13
Nikola Jokic 20 21,27.4,8.6,11.1,1.6,0.6,28
Damian Jones 20 21,1.2,0,1.5,0.1,0.5,11
Derrick Jones Jr. 20 21,7.6,0.7,4.7,0.8,0.9,24
Mason Jones 20 21,5.6,1.3,2,0.3,0,18
Tre Jones 20 21,2,0.1,0.4,0,0,9
Tyus Jones 20 21,7.7,5.3,2.8,1.3,0.1,24
DeAndre Jordan 20 21,7.2,1.9,7,0.3,1.4,28
Cory Joseph 20 21,6.8,2.4,2.1,0.8,0.2,27
Mfiondu Kabengele 20 21,1,0.2,0.6,0.1,0.1,17
Frank Kaminsky 20 21,6.7,2,4.5,0.2,0.5,20
Enes Kanter 20 21,11.5,1.1,11.1,0.5,0.8,28
Luke Kennard 20 21,8,1.8,2.9,0.3,0.2,29
Maxi Kleber 20 21,7.1,1.5,5.4,0.4,0.8,17
Nathan Knight 20 21,3.1,0.1,1.6,0.2,0.3,9
Kevin Knox 20 21,5.3,0.7,2.1,0.3,0.3,23
John Konchar 20 21,4.4,1.1,3.8,1.1,0.3,16
Furkan Korkmaz 20 21,7.6,0.8,2.6,0.7,0.1,18
Luke Kornet 20 21,1.5,0.3,1.5,0.3,0.2,6
Rodions Kurucs 20 21,1.1,0.3,0.9,0.4,0.1,14
Rodions Kurucs 20 21,0.6,0.4,0.6,0,0,5
Rodions Kurucs 20 21,1.4,0.2,1,0.6,0.2,9
Kyle Kuzma 20 21,10.8,1.1,6,0.3,0.7,29
Jeremy Lamb 20 21,12.4,1.6,4.3,0.9,0.5,16
Zach LaVine 20 21,28.5,5.2,5.5,1.1,0.4,27
Jake Layman 20 21,6.3,0.5,1.5,0.9,0.5,19
Jalen Lecque 20 21,1.7,0.7,1.3,0,0,3
Damion Lee 20 21,6.2,1.5,3.3,0.6,0.1,29
Saben Lee 20 21,2.3,1,0.4,0.5,0.1,8
Alex Len 20 21,6,1.1,3.5,0.4,1.1,20
Alex Len 20 21,2.3,0.4,1.6,0.1,0.9,7
Alex Len 20 21,8,1.4,4.5,0.5,1.2,13
Kawhi Leonard 20 21,26.7,5,5.9,1.8,0.6,23
Meyers Leonard 20 21,3.3,0.7,2.3,0,0,3
Caris LeVert 20 21,18.5,6,4.3,1.1,0.5,12
Kira Lewis Jr. 20 21,5.5,1.8,0.9,0.6,0.1,17
Damian Lillard 20 21,29.8,7.7,4.4,1.1,0.3,27
Nassir Little 20 21,4.8,0.2,2,0.2,0.3,13
Kevon Looney 20 21,3.7,1.8,4.1,0.3,0.3,21
Brook Lopez 20 21,10.8,0.6,5.1,0.5,1.3,28
Robin Lopez 20 21,8,1,4.2,0.2,0.5,26
Kevin Love 20 21,9.5,2.5,6,0.5,0,2
Kyle Lowry 20 21,17.7,6.4,5.4,1.2,0.2,25
Timothé Luwawu-Cabarrot 20 21,7.3,1.3,2.4,0.6,0.2,30
Trey Lyles 20 21,3.5,0.5,3.1,0,0,14
Thon Maker 20 21,3.8,0.5,2.3,0.3,0.5,8
Théo Maledon 20 21,7.8,2.8,2.7,1,0,23
Karim Mané 20 21,1.2,0.2,1.7,0,0.2,6
Terance Mann 20 21,4.3,1.1,3.3,0.5,0.2,27
Nico Mannion 20 21,1.5,2,1.3,0.3,0,6
Boban Marjanović 20 21,4.3,0.1,3.3,0,0,15
Lauri Markkanen 20 21,19.1,0.9,6.1,0.6,0.4,14
Naji Marshall 20 21,0.3,0.3,0.7,0,0,3
Caleb Martin 20 21,5.6,1.3,2.8,0.9,0.3,23
Cody Martin 20 21,3,0.9,2,0.4,0,17
Kelan Martin 20 21,1.3,0,1,0.2,0,11
Kenyon Martin Jr. 20 21,3.3,0.6,2.7,0.3,0.7,7
Frank Mason III 20 21,6.3,3,3,0,0,4
Garrison Mathews 20 21,7,0.5,1.5,0.9,0.2,20
Dakota Mathias 20 21,6,1.6,0.9,0.1,0.4,8
Wesley Matthews 20 21,5.1,1.1,1.4,0.5,0.4,22
Tyrese Maxey 20 21,8.7,1.7,1.9,0.5,0.1,28
Skylar Mays 20 21,3.8,0.7,0.8,0.2,0,10
CJ McCollum 20 21,26.7,5,3.9,1.3,0.3,13
T.J. McConnell 20 21,5.8,6.6,3.3,1.7,0.4,26
Jaden McDaniels 20 21,5.4,1,3.3,0.3,1.1,23
Jalen McDaniels 20 21,4.1,0.6,2.1,0.2,0,10
Doug McDermott 20 21,13.1,1.4,4.1,0.3,0.1,28
Sean McDermott 20 21,3.7,0.5,1.3,0.2,0.2,6
JaVale McGee 20 21,7.8,1,5.6,0.5,1.2,20
Rodney McGruder 20 21,3,0.8,1.1,0,0.1,8
Alfonzo McKinnie 20 21,1.8,0.1,0.9,0.1,0,14
Jordan McLaughlin 20 21,5.3,4.6,2.2,1,0.2,17
Ben McLemore 20 21,6.4,1,2.2,0.6,0.1,20
Nicolò Melli 20 21,2,0.9,2.1,0.5,0.1,13
De'Anthony Melton 20 21,10,3.2,3,0.9,1,12
Sam Merrill 20 21,1.6,1.1,1.1,0.1,0,9
Chimezie Metu 20 21,3.4,0.5,2.1,0.3,0.5,11
Khris Middleton 20 21,20.3,5.8,5.8,1,0.1,28
Darius Miller 20 21,2.8,0.8,1.3,0.4,0.3,12
Patty Mills 20 21,13.2,2.7,1.9,0.7,0,27
Paul Millsap 20 21,10.4,1.7,5.2,0.8,0.5,26
Shake Milton 20 21,14,3,1.9,0.7,0.2,22
Donovan Mitchell 20 21,24.2,5.1,4.4,0.9,0.4,27
Adam Mokoka 20 21,1.6,0.6,0.6,0.3,0.1,7
Malik Monk 20 21,10.5,1.8,2.3,0.3,0.1,15
E'Twaun Moore 20 21,5.4,1.6,1.4,0.8,0.1,14
Ja Morant 20 21,18.8,8.3,3.1,0.9,0.3,16
Juwan Morgan 20 21,1.3,0.3,1.1,0.3,0,12
Marcus Morris 20 21,13.2,0.9,3.8,0.6,0.3,21
Markieff Morris 20 21,4.6,0.9,3.5,0.2,0.3,23
Monte Morris 20 21,10.8,3.3,2.1,0.7,0.3,27
Mychal Mulder 20 21,4.3,0.4,0.9,0.2,0.2,28
Dejounte Murray 20 21,15.1,5,7.2,1.6,0.1,27
Jamal Murray 20 21,19.4,4.5,4.3,1.1,0.3,26
Mike Muscala 20 21,9.9,0.9,3.7,0.3,0.3,26
Sviatoslav Mykhailiuk 20 21,6.4,1.2,1.9,0.6,0.2,27
Abdel Nader 20 21,7.2,0.9,2.4,0.4,0.1,12
Larry Nance Jr. 20 21,9.3,3.2,6.8,1.9,0.5,19
Aaron Nesmith 20 21,3.8,0.5,2.3,0,0.3,13
Raul Neto 20 21,8,1.7,2.2,1,0.1,21
Georges Niang 20 21,4.9,0.8,2.2,0.4,0.1,29
Zeke Nnaji 20 21,2.9,0,0.9,0.1,0.1,15
Nerlens Noel 20 21,4,0.5,5.3,0.9,1.9,25
Jaylen Nowell 20 21,9.7,0.9,1.7,0.4,0.3,15
Frank Ntilikina 20 21,4.5,0.8,1,0.8,0,4
Kendrick Nunn 20 21,13.7,2.3,3.2,1.1,0.2,20
Jusuf Nurkić 20 21,9.8,2.8,7.7,0.9,0.9,12
David Nwaba 20 21,8.8,1.1,3.7,1.1,0.8,24
Jordan Nwora 20 21,5.1,0,1.5,0.4,0.2,10
Royce O'Neale 20 21,7.9,2.3,6.9,0.8,0.7,29
Semi Ojeleye 20 21,5.9,0.9,3.1,0.3,0,27
Jahlil Okafor 20 21,4.3,0.3,2.3,0.2,0.2,12
Chuma Okeke 20 21,4.3,2.1,3.4,0.8,0.3,13
Josh Okogie 20 21,5,1.2,2.6,0.8,0.6,23
Onyeka Okongwu 20 21,3,0.4,2.8,0.4,0.7,9
Isaac Okoro 20 21,7.5,1.9,2.4,1.1,0.4,24
KZ Okpala 20 21,2.4,0.4,1.4,0.2,0.1,14
Victor Oladipo 20 21,19.1,4.6,5.2,1.4,0.4,20
Victor Oladipo 20 21,20,4.2,5.7,1.7,0.2,9
Victor Oladipo 20 21,18.4,4.9,4.8,1.1,0.5,11
Kelly Olynyk 20 21,9.9,2,5.8,0.8,0.7,27
Miye Oni 20 21,1.5,0.3,1.8,0.1,0.2,23
Cedi Osman 20 21,11.5,2.6,3.3,0.9,0.1,29
Daniel Oturu 20 21,2,0.4,1.4,0,0.3,10
Kelly Oubre Jr. 20 21,14.2,1.4,5.9,1.1,0.8,29
Eric Paschall 20 21,10,1.3,3.4,0.2,0.1,26
Anžejs Pasečņiks 20 21,0,1,1,0,0,1
Patrick Patterson 20 21,4.5,0.5,2,0.3,0.1,10
Chris Paul 20 21,17.2,8.2,4.7,1.2,0.3,26
Cameron Payne 20 21,6.6,3.6,1.9,0.6,0.2,16
Elfrid Payton 20 21,12.2,3.6,3.8,0.6,0.2,30
Norvel Pelle 20 21,2,0,2.3,0,1,3
Reggie Perry 20 21,3.6,0.9,3.6,0.1,0.4,14
Theo Pinson 20 21,0.2,0,0.1,0,0,9
Mason Plumlee 20 21,10.2,3.4,8.8,0.9,0.7,26
Jakob Poeltl 20 21,6.4,1.7,7,0.6,1.5,27
Vincent Poirier 20 21,1,0.3,1,0,0.5,4
Aleksej Pokusevski 20 21,3.3,1.2,3.5,0.5,1.1,17
Jordan Poole 20 21,5.5,0.9,1.2,0.2,0.1,15
Michael Porter Jr. 20 21,13.7,1.1,6.1,1.1,1.2,18
Otto Porter 20 21,11.6,2,6.3,0.6,0.2,16
Bobby Portis 20 21,11.8,1.1,7.3,0.9,0.4,28
Kristaps Porziņģis 20 21,20.5,1.3,8.2,0.4,1.6,17
Dwight Powell 20 21,4.7,0.9,3.6,0.8,0.4,17
Norman Powell 20 21,16.3,1.5,2.9,1.1,0.2,26
Taurean Prince 20 21,8.7,1.7,3.6,0.7,0.7,27
Taurean Prince 20 21,8.1,0.6,2.8,0.7,0.7,12
Taurean Prince 20 21,9.2,2.6,4.3,0.7,0.7,15
Payton Pritchard 20 21,8,2.4,2.5,0.6,0.2,22
Immanuel Quickley 20 21,12.4,2.7,2.3,0.4,0.3,26
Jahmi'us Ramsey 20 21,1.3,0.3,1,0,0.3,4
Chasson Randle 20 21,2,5,2,0,0,1
Julius Randle 20 21,23.2,5.5,10.9,0.7,0.2,30
Cam Reddish 20 21,11.5,1.4,4,1.1,0.3,24
J.J. Redick 20 21,8.2,1.1,1.5,0.3,0.1,25
Paul Reed 20 21,3.6,0.6,2,0.2,0.8,5
Naz Reid 20 21,12.5,1.3,4.9,0.7,1.2,27
Nick Richards 20 21,1.4,0,0.8,0,0,8
Josh Richardson 20 21,12.5,2.7,2.9,0.8,0.2,19
Austin Rivers 20 21,7.3,2,2.2,0.6,0,21
Duncan Robinson 20 21,12.6,1.5,3.8,0.4,0.3,28
Glenn Robinson III 20 21,5.3,0.9,1.6,0.1,0.1,22
Jerome Robinson 20 21,5.2,1.4,2.5,0.5,0.2,13
Mitchell Robinson 20 21,8.4,0.5,8.4,1.2,1.5,27
Isaiah Roby 20 21,8.5,1.5,5.2,0.7,0.6,22
Rajon Rondo 20 21,3.4,3.9,2.3,0.6,0.1,14
Derrick Rose 20 21,13.5,4,2.2,1.2,0.4,20
Derrick Rose 20 21,14.2,4.2,1.9,1.2,0.3,15
Derrick Rose 20 21,11.2,3.4,2.8,1,0.6,5
Terrence Ross 20 21,15.3,2.1,3.2,1,0.5,28
Terry Rozier 20 21,20.6,3,4.1,1.3,0.5,26
Ricky Rubio 20 21,7.2,6.5,3.4,1.3,0,27
D'Angelo Russell 20 21,19.3,5.1,2.6,1.1,0.5,20
Domantas Sabonis 20 21,21.5,5.7,11.6,1,0.7,29
Luka Šamanić 20 21,1.8,0,0,0,0,4
JaKarr Sampson 20 21,2.3,0,2,0.1,0.2,13
Dario Šarić 20 21,10.4,1.2,4,1,0.2,10
Tomáš Satoranský 20 21,6.4,4.9,2.7,0.6,0.2,16
Dennis Schröder 20 21,14.2,4.3,3.6,0.9,0.2,29
Mike Scott 20 21,4.1,0.1,2.6,0.3,0.2,11
Collin Sexton 20 21,22.8,4.3,2.5,1.1,0.2,24
Landry Shamet 20 21,7.4,1.3,1.5,0.5,0.2,26
Pascal Siakam 20 21,20.6,4.5,7.8,1.2,0.6,25
Chris Silva 20 21,3.8,1,3,0.2,0.3,6
Ben Simmons 20 21,15.2,8,8.3,1.7,0.8,25
Anfernee Simons 20 21,9,1.2,2.3,0.2,0.2,25
Deividas Sirvydis 20 21,0,0.3,0,0,0,4
Marcus Smart 20 21,13.1,6.1,2.8,1.8,0.5,17
Dennis Smith Jr. 20 21,4.6,1.6,1.1,0.4,0.1,7
Dennis Smith Jr. 20 21,3,1,0.7,1,0,3
Dennis Smith Jr. 20 21,5.8,2,1.5,0,0.3,4
Ish Smith 20 21,5.2,4.7,3.5,0.8,0.2,19
Jalen Smith 20 21,1.8,0.3,1.3,0,0.3,8
Tony Snell 20 21,3.1,0.9,1.6,0.1,0.1,15
Ray Spalding 20 21,2,0,2,0,1,2
Cassius Stanley 20 21,1.1,0,0.4,0,0.3,8
Lamar Stevens 20 21,4.6,1.1,2.6,0.4,0.3,18
Isaiah Stewart 20 21,5.2,0.7,5.4,0.5,0.9,26
Max Strus 20 21,7.3,0.5,1.1,0.1,0,16
Edmond Sumner 20 21,3.9,0.5,1.3,0.5,0.1,16
Jae'Sean Tate 20 21,9.9,1.8,5.1,0.9,0.6,28
Jayson Tatum 20 21,25.8,4.7,7,1.3,0.4,23
Jeff Teague 20 21,5.5,2,1.6,0.9,0.1,23
Garrett Temple 20 21,8.8,2,3.1,1.1,0.5,26
Tyrell Terry 20 21,1,0.5,0.5,0.5,0,11
Daniel Theis 20 21,9.3,1.4,5.1,0.6,1,26
Brodric Thomas 20 21,2.5,1,1,0.3,0.3,4
Matt Thomas 20 21,2.5,0.4,0.6,0.1,0,14
Tristan Thompson 20 21,7,0.8,8.3,0.3,0.3,26
Sindarius Thornwell 20 21,1.3,0.2,0.3,0.4,0,10
Matisse Thybulle 20 21,3.3,0.8,1.3,1.6,0.8,26
Xavier Tillman Sr. 20 21,7.9,1.6,4.5,1,0.6,19
Obi Toppin 20 21,4.9,0.5,2.4,0.2,0.5,20
Juan Toscano-Anderson 20 21,6.6,2.3,4.8,0.6,0.7,16
Karl-Anthony Towns 20 21,21.8,3.3,10.6,1,1.9,9
Gary Trent Jr. 20 21,15.3,1.4,2.1,0.7,0.2,26
P.J. Tucker 20 21,4.7,1.4,4.6,0.8,0.5,26
Myles Turner 20 21,13.2,1,6.6,1.1,3.5,27
Jonas Valančiūnas 20 21,16.5,2.1,10.8,0.6,0.8,19
Denzel Valentine 20 21,8.5,1.8,3.9,0.7,0,23
Jarred Vanderbilt 20 21,6,1.7,6,1.1,0.7,27
Fred VanVleet 20 21,20.4,6.6,4.2,1.7,0.7,28
Devin Vassell 20 21,5.5,1.1,3.2,1.1,0.3,26
Gabe Vincent 20 21,6.3,1.5,1.2,0.4,0.1,18
Noah Vonleh 20 21,0,0.3,0.3,0,0,3
Nikola Vučević 20 21,23.4,3.4,11.6,1.1,0.6,29
Dean Wade 20 21,2.1,0.4,1.3,0.2,0.1,23
Moritz Wagner 20 21,6.1,0.9,3.1,0.6,0.3,14
Kemba Walker 20 21,16.4,4,3.7,1.1,0.2,13
Lonnie Walker 20 21,10.8,1.7,2.9,0.5,0.4,25
John Wall 20 21,20.4,6.3,3.7,1,0.7,19
Brad Wanamaker 20 21,4.3,2.7,1.8,0.8,0.1,29
T.J. Warren 20 21,15.5,1.3,3.5,0.5,0,4
P.J. Washington 20 21,11.2,3,6.5,0.9,1.3,24
Yuta Watanabe 20 21,3.1,0.4,3.3,0.5,0.6,18
Tremont Waters 20 21,2.4,2.8,0.9,0.6,0,9
Paul Watson 20 21,2,0.2,0.7,0,0.2,13
Quinndary Weatherspoon 20 21,0.8,0.6,0.4,0.2,0,5
Russell Westbrook 20 21,18.9,9.5,9.4,0.8,0.4,19
Coby White 20 21,15.4,5.4,4.7,0.4,0.1,27
Derrick White 20 21,11.8,3.9,1.8,1,1,8
Hassan Whiteside 20 21,8.4,0.5,5.7,0.3,1.4,20
Andrew Wiggins 20 21,17.7,2.1,4.8,0.7,1.3,29
Grant Williams 20 21,5.4,1,3,0.5,0.4,24
Kenrich Williams 20 21,5.6,1.7,3.9,0.8,0.2,28
Lou Williams 20 21,12.4,3.9,2.4,0.8,0.1,28
Patrick Williams 20 21,10.1,1.1,4.6,0.7,0.7,26
Robert Williams 20 21,6.1,0.8,5.3,1,1.1,21
Zion Williamson 20 21,25,3.1,6.8,1,0.7,27
D.J. Wilson 20 21,3.7,0.3,2.2,0.1,0.3,10
Dylan Windler 20 21,6,1.2,3.7,0.6,0.5,15
Cassius Winston 20 21,2.2,1,0.7,0,0.2,6
James Wiseman 20 21,12.2,0.7,6.1,0.4,1.3,20
Christian Wood 20 21,22,1.3,10.2,0.9,1.5,17
Robert Woodard 20 21,2.2,0,1.3,0,0,6
Delon Wright 20 21,10.5,4.9,4.6,1.4,0.5,28
Thaddeus Young 20 21,11.2,4.4,5.8,1.4,0.5,23
Trae Young 20 21,26.5,9.3,3.8,0.8,0.3,26
Cody Zeller 20 21,10.1,2.5,8,0.7,0.6,15
Ivica Zubac 20 21,8.3,1.1,6.6,0.4,0.8,30
Precious Achiuwa 21 22,6.5,0.6,4,0.4,0.5,28
Jaylen Adams 21 22,0.3,0.3,0.5,0,0,6
Steven Adams 21 22,8,2.1,8.9,1,0.6,27
Bam Adebayo 21 22,19.9,5.3,9.2,1,1,26
LaMarcus Aldridge 21 22,14.1,1.9,4.3,0.4,0.9,18
Ty-Shon Alexander 21 22,0,0.3,0.3,0,0,3
Nickeil Alexander-Walker 21 22,8.8,2,2.7,1.1,0.3,23
Grayson Allen 21 22,10.4,2.1,2.9,1,0.2,19
Jarrett Allen 21 22,12.3,1.6,9,0.5,1.6,28
Jarrett Allen 21 22,11.2,1.7,10.4,0.6,1.6,12
Jarrett Allen 21 22,13.2,1.6,7.9,0.4,1.7,16
Al-Farouq Aminu 21 22,1.5,1,2,0,0,2
Kyle Anderson 21 22,13.8,3.8,6.3,1.1,0.8,24
Giannis Antetokounmpo 21 22,28.2,5.8,11.4,1.3,1.3,27
Kostas Antetokounmpo 21 22,0,0,4,0,2,1
Thanasis Antetokounmpo 21 22,2.2,0.8,1.7,0.3,0.2,18
Carmelo Anthony 21 22,13.3,1.3,3.5,0.8,0.8,27
Cole Anthony 21 22,11,3.8,4.4,0.7,0.4,25
OG Anunoby 21 22,14.6,1.6,5.9,2,0.6,18
Ryan Arcidiacono 21 22,2.5,1.5,2,0.3,0,11
D.J. Augustin 21 22,5.9,3,1.2,0.5,0,27
Deni Avdija 21 22,6.8,1.6,4.9,0.8,0.2,22
Deandre Ayton 21 22,13.9,1.8,12.2,0.3,1,27
Udoka Azubuike 21 22,1,0,1.1,0.1,0.3,12
Dwayne Bacon 21 22,10.7,1,3.1,0.8,0.1,29
Marvin Bagley III 21 22,12.8,0.9,7.4,0.5,0.5,25
LaMelo Ball 21 22,14.6,6.1,6.2,1.5,0.4,28
Lonzo Ball 21 22,14,4.7,4.3,1.2,0.5,25
Mo Bamba 21 22,4.8,0.3,3.8,0.2,0.8,13
Desmond Bane 21 22,10.3,1.6,2.7,0.7,0.2,20
Harrison Barnes 21 22,15.8,3.4,6.2,0.8,0.2,27
RJ Barrett 21 22,16.5,3.1,6.2,0.7,0.2,30
Will Barton 21 22,11.6,3.2,3.7,0.8,0.4,25
Keita Bates-Diop 21 22,0.6,0.3,0.4,0.1,0,8
Nicolas Batum 21 22,9.7,2.3,4.9,1.4,0.4,27
Aron Baynes 21 22,5.6,1,5.4,0.3,0.3,25
Kent Bazemore 21 22,7,1.6,3.1,0.8,0.6,27
Darius Bazley 21 22,12.2,1.8,7.4,0.5,0.7,28
Bradley Beal 21 22,32.8,4.7,5.2,1.3,0.5,24
Malik Beasley 21 22,20.9,2.5,4.9,0.9,0.2,29
Jordan Bell 21 22,3.3,1.7,5.3,0.3,1,3
DeAndre' Bembry 21 22,4.2,1.6,1.6,0.6,0.3,19
DƒÅvis BertƒÅns 21 22,11.5,1,3.1,0.7,0.3,23
Patrick Beverley 21 22,8.3,2.2,4.2,1,0.8,20
Saddiq Bey 21 22,9.2,1,3.7,0.5,0,26
Tyler Bey 21 22,1.5,0,0.8,0,0.3,4
Khem Birch 21 22,6.7,1.2,6,0.7,0.7,29
Goga Bitadze 21 22,4.2,0.2,2.2,0.2,1.1,13
Bismack Biyombo 21 22,6.1,1.3,5.8,0.2,1.2,26
Nemanja Bjelica 21 22,6.9,2.2,3.8,0,0.2,13
Eric Bledsoe 21 22,12.7,3.7,3.6,0.7,0.3,27
Keljin Blevins 21 22,0.3,0.5,0,0.3,0,8
Bogdan Bogdanoviƒá 21 22,9.9,2.1,3.8,0.4,0.1,9
Bojan Bogdanoviƒá 21 22,15.2,2.1,4,0.4,0,29
Bol Bol 21 22,1.4,0.2,0.8,0.1,0.3,12
Marques Bolden 21 22,1.2,0,1,0.3,0.3,6
Jordan Bone 21 22,4,1.3,1.7,0.1,0,14
Isaac Bonga 21 22,2.3,0.5,2.2,0.2,0.2,17
Devin Booker 21 22,24.4,4.4,3.7,0.9,0.3,23
Chris Boucher 21 22,13.6,1,6.8,0.5,2.1,28
Brian Bowen 21 22,3,0,1,0,0,1
Avery Bradley 21 22,8.5,1.4,1.8,0.7,0.1,10
Tony Bradley 21 22,4.1,0.6,5,0.3,0.6,10
Jarrell Brantley 21 22,1.1,0,0.5,0.1,0.1,8
Ignas Brazdeikis 21 22,0.5,0.3,0.5,0,0,4
Mikal Bridges 21 22,14.1,2.1,5.3,0.6,1,27
Miles Bridges 21 22,9.9,1.9,5.8,0.7,0.8,28
Malcolm Brogdon 21 22,21.6,6.6,4.8,1.3,0.3,29
Dillon Brooks 21 22,15.8,2.6,3.3,1.3,0.4,24
Bruce Brown 21 22,6.4,1,4.4,0.7,0.4,26
Jaylen Brown 21 22,25.9,3.6,5.5,1.2,0.6,26
Moses Brown 21 22,3,0.4,2.1,0.1,0.6,7
Sterling Brown 21 22,7.5,1.8,3.9,1,0.3,26
Troy Brown Jr. 21 22,4.8,1,3.5,0.2,0.2,13
Jalen Brunson 21 22,11.7,3.6,3.2,0.4,0,24
Thomas Bryant 21 22,14.3,1.5,6.1,0.4,0.8,10
Reggie Bullock 21 22,8.5,1.4,3.5,0.7,0.2,25
Trey Burke 21 22,8,1.6,1.1,0.8,0.1,27
Alec Burks 21 22,11.1,2.1,4.6,0.8,0.3,18
Jimmy Butler 21 22,19.4,7.4,7.7,1.9,0.4,16
Bruno Caboclo 21 22,2.8,0.2,2.3,0,0.3,6
Devontae Cacok 21 22,2,0,0,0,0,1
Kentavious Caldwell-Pope 21 22,8.5,1.3,2.2,0.8,0.3,25
Facundo Campazzo 21 22,4.9,1.9,0.8,0.9,0.2,25
Vlatko ƒåanƒçar 21 22,0.6,0.1,0.9,0.3,0.2,13
Clint Capela 21 22,14.3,1,14,0.8,2.2,25
Vernon Carey Jr. 21 22,1,0.3,1,0,0.3,3
Jevon Carter 21 22,2.9,1.1,1.4,0.4,0.3,23
Wendell Carter Jr. 21 22,13,2.2,7.8,0.7,0.7,16
Michael Carter-Williams 21 22,7.7,3,4.7,0.5,0.4,10
Alex Caruso 21 22,5.5,2.3,2.4,1,0.2,22
Willie Cauley-Stein 21 22,5.9,0.8,4.6,0.3,0.7,26
Chris Chiozza 21 22,3.2,2.3,0.9,0.3,0.3,12
Marquese Chriss 21 22,6.5,1,6.5,0,1,2
Gary Clark 21 22,3.4,0.9,3.6,0.3,0.2,26
Brandon Clarke 21 22,13,1.8,5.6,1.2,0.8,20
Jordan Clarkson 21 22,18.2,2.1,4.1,1,0.2,29
Amir Coffey 21 22,2.9,0.4,0.8,0.2,0,19
John Collins 21 22,18.2,1.6,7.6,0.5,1,28
